bag,run_id,confidence_source,published_msgs,publish_rate_hz,particle_msgs,converged,convergence_time_s,post_convergence_confidence,min_confidence
corridor1,1,odom_jitter,958,50.011550,0,True,1.973639,0.023874,0.002897
corridor1,2,odom_jitter,959,50.027074,0,True,1.979616,0.028706,0.001671
corridor1,3,particles,1795,90.110314,798,True,2.017146,0.122138,0.074692
corridor2,1,odom_jitter,617,50.069249,0,True,1.978251,0.032548,0.002812
corridor2,2,odom_jitter,617,49.998681,0,True,1.986867,0.015812,0.001855
corridor2,3,odom_jitter,617,50.056019,0,True,1.978782,0.027091,0.002488
corridor3,1,odom_jitter,1372,50.010958,0,True,1.977241,0.021218,0.002193
corridor3,2,odom_jitter,1364,50.022133,0,True,1.979978,0.015806,0.001760
corridor3,3,odom_jitter,1362,49.984006,0,True,1.982494,0.020037,0.002209
corridor4,1,particles,1934,90.055084,861,True,2.012216,0.150692,0.051595
corridor4,2,odom_jitter,1019,50.026131,0,True,1.974838,0.018182,0.001675
corridor4,3,odom_jitter,1018,49.990174,0,True,1.958678,0.032029,0.002906
