bag,run_id,confidence_source,published_msgs,publish_rate_hz,particle_msgs,converged,convergence_time_s,post_convergence_confidence,min_confidence
corridor1,1,odom_jitter,960,50.053034,0,True,2.000715,0.025732,0.002107
corridor1,2,odom_jitter,942,50.040714,0,True,1.984716,0.027447,0.004318
corridor1,3,odom_jitter,925,50.032499,0,True,1.975020,0.014294,0.003913
corridor2,1,particles,1212,90.184707,539,True,2.000318,0.095649,0.058612
corridor2,2,odom_jitter,617,50.049443,0,True,1.976359,0.010998,0.001885
corridor2,3,odom_jitter,617,50.051887,0,True,1.975822,0.022041,0.001014
corridor3,1,odom_jitter,1365,50.017990,0,True,1.975834,0.014556,0.001983
corridor3,2,odom_jitter,1363,50.035053,0,True,1.979497,0.019919,0.003106
corridor3,3,odom_jitter,1372,50.019470,0,True,1.978668,0.014179,0.001179
corridor4,1,odom_jitter,1019,50.042125,0,True,1.979434,0.028349,0.001314
corridor4,2,odom_jitter,1021,50.011943,0,True,1.976852,0.020500,0.001697
corridor4,3,odom_jitter,1019,50.031119,0,True,1.980859,0.019568,0.002206
