bag,run_id,confidence_source,published_msgs,publish_rate_hz,particle_msgs,converged,convergence_time_s,post_convergence_confidence,min_confidence
corridor1,1,particles,1707,89.865419,759,True,2.022380,0.114150,0.070686
corridor1,2,odom_jitter,942,50.014852,0,True,1.983277,0.011719,0.003832
corridor1,3,odom_jitter,942,50.026346,0,True,1.985616,0.022856,0.002790
corridor2,1,odom_jitter,618,50.034572,0,True,1.980656,0.014670,0.001873
corridor2,2,particles,1240,90.119407,552,True,2.000717,0.101773,0.068217
corridor2,3,odom_jitter,618,50.074020,0,True,2.008891,0.012185,0.001195
corridor3,1,odom_jitter,1372,50.022720,0,True,1.977266,0.012675,0.001100
corridor3,2,odom_jitter,1363,50.042388,0,True,1.979916,0.010362,0.001836
corridor3,3,odom_jitter,1365,50.025654,0,True,1.979016,0.012166,0.001997
corridor4,1,odom_jitter,1020,50.035072,0,True,2.010496,0.029716,0.002024
corridor4,2,odom_jitter,1020,50.017319,0,True,1.979972,0.012016,0.000984
corridor4,3,odom_jitter,1020,50.024899,0,True,1.979868,0.009655,0.000817
