bag,run_id,confidence_source,published_msgs,publish_rate_hz,particle_msgs,converged,convergence_time_s,post_convergence_confidence,min_confidence
corridor1,1,particles,6305,316.451693,2389,True,2.000199,0.098758,0.052866
corridor1,2,particles,6313,316.888211,2364,True,2.001486,0.106103,0.044722
corridor2,1,odom_jitter,616,50.050348,0,True,1.979634,0.020579,0.001285
corridor2,2,odom_jitter,617,50.072944,0,True,1.979773,0.016973,0.000484
corridor2,3,odom_jitter,616,50.089523,0,True,1.980012,0.020627,0.000814
corridor3,1,odom_jitter,1371,49.978450,0,True,1.973886,0.011357,0.000964
corridor3,2,particles,2564,90.100726,1140,True,2.019211,0.455412,0.047638
corridor3,3,particles,2563,89.914950,1140,True,2.020902,0.694311,0.039299
corridor4,1,odom_jitter,1018,50.020172,0,True,1.980080,0.023843,0.000732
corridor4,2,odom_jitter,1018,50.006058,0,True,1.980875,0.012771,0.001162
corridor4,3,odom_jitter,1019,50.040785,0,True,1.981945,0.024220,0.001182
