bag,run_id,confidence_source,published_msgs,publish_rate_hz,particle_msgs,converged,convergence_time_s,post_convergence_confidence,min_confidence
corridor1,1,particles,1794,90.042903,798,True,2.020175,0.098790,0.056508
corridor1,2,odom_jitter,926,50.042189,0,True,1.980201,0.022160,0.004905
corridor1,3,odom_jitter,958,49.997404,0,True,1.976197,0.010589,0.003277
corridor2,1,particles,1235,89.885923,550,True,2.001885,0.098583,0.059713
corridor2,2,odom_jitter,616,50.028110,0,True,1.980359,0.013765,0.001681
corridor2,3,particles,1209,90.216929,537,True,2.005203,0.096447,0.060563
corridor3,1,odom_jitter,1370,50.006527,0,True,1.980116,0.021779,0.000756
corridor3,2,odom_jitter,1370,49.987984,0,True,2.004254,0.024877,0.000968
corridor3,3,odom_jitter,1371,50.020268,0,True,1.977247,0.012638,0.001739
corridor4,1,odom_jitter,1018,49.998413,0,True,1.978263,0.014900,0.003494
corridor4,2,odom_jitter,1017,50.049118,0,True,1.986979,0.030809,0.001684
corridor4,3,odom_jitter,1022,50.043724,0,True,1.980665,0.029499,0.002248
