bag,method,side,aggregation,count,mean,std,min,max,mean_abs_error
straight_inward_tissany_left_3,tissany,left,per_bag,917,0.793086,0.280552,0.489839,1.945120,0.218640
straight_inward_tissany_right_1,tissany,right,per_bag,527,1.751661,1.258103,0.492666,5.847788,1.169257
straight_inward_tissany_right_2,tissany,right,per_bag,460,1.618359,1.228506,0.495456,5.582976,1.037977
straight_inward_tissany_right_3,tissany,right,per_bag,544,2.605387,2.214155,0.491974,8.507811,2.022046
straight_inward_ansis_left (3 runs),tissany,left,3_runs,2752,0.698244,0.272510,0.455931,1.327777,0.176126
straight_inward_ansis_right (3 runs),tissany,right,3_runs,1492,1.580845,1.257581,0.134259,5.592877,1.133531
straight_inward_jeryl_left (3 runs),tissany,left,3_runs,3011,0.701843,0.310676,0.436896,1.364537,0.211277
straight_inward_jeryl_right (3 runs),tissany,right,3_runs,1837,2.571589,2.879327,0.326387,13.518541,2.050221
straight_inward_muktha_left (3 runs),tissany,left,3_runs,2686,0.833721,0.267788,0.530688,1.726240,0.246144
straight_inward_muktha_right (3 runs),tissany,right,3_runs,1680,1.651702,1.103192,0.465855,6.031231,1.062480
straight_inward_tissany_left (3 runs),tissany,left,3_runs,2809,0.824245,0.294816,0.487124,1.945120,0.249244
straight_inward_tissany_right (3 runs),tissany,right,3_runs,1531,2.014958,1.713258,0.491974,8.507811,1.432829
straight_inward_ansis_left_1,ansisg,left,per_bag,929,0.785320,0.283678,0.594034,1.378245,0.185795
straight_inward_ansis_left_2,ansisg,left,per_bag,907,0.768304,0.268871,0.610166,1.375697,0.168304
straight_inward_ansis_left_3,ansisg,left,per_bag,916,0.773562,0.275268,0.578644,1.373088,0.177161
straight_inward_ansis_right_1,ansisg,right,per_bag,371,1.094640,0.932294,0.144375,2.222412,0.890863
straight_inward_ansis_right_2,ansisg,right,per_bag,549,1.187135,0.676789,0.250139,2.095335,0.658457
straight_inward_ansis_right_3,ansisg,right,per_bag,572,1.228363,0.681417,0.247526,2.089409,0.683328
straight_inward_jeryl_left_1,ansisg,left,per_bag,973,0.752817,0.303377,0.395262,1.373831,0.168182
straight_inward_jeryl_left_2,ansisg,left,per_bag,1000,0.792048,0.332990,0.075496,1.376534,0.207829
straight_inward_jeryl_left_3,ansisg,left,per_bag,1038,0.785258,0.327222,0.332981,1.372194,0.200077
straight_inward_jeryl_right_1,ansisg,right,per_bag,652,1.404587,0.754826,0.496676,2.334435,0.843076
straight_inward_jeryl_right_2,ansisg,right,per_bag,561,1.297321,0.758696,0.500443,2.245505,0.729917
straight_inward_jeryl_right_3,ansisg,right,per_bag,624,1.413509,0.779141,0.505294,2.317269,0.846593
straight_inward_muktha_left_1,ansisg,left,per_bag,864,0.889948,0.240165,0.660464,1.375886,0.289948
straight_inward_muktha_left_2,ansisg,left,per_bag,896,0.911490,0.250976,0.698186,1.379185,0.311490
straight_inward_muktha_left_3,ansisg,left,per_bag,926,0.933248,0.263798,0.693183,1.375835,0.333248
straight_inward_muktha_right_1,ansisg,right,per_bag,571,1.446905,0.674299,0.603635,2.201136,0.846905
straight_inward_muktha_right_2,ansisg,right,per_bag,612,1.342806,0.632573,0.618402,2.122180,0.742806
